2025-07-05 11:16:41.877 | INFO     | __main__:main:25 - ==== 智能语音音箱主流程启动 ====
2025-07-05 11:16:41.883 | DEBUG    | __main__:main:27 - 完整配置参数: {'xunfei_asr': {'app_id': '016b92a6', 'api_key': '8ac63485f16c76f845142189872f5cea', 'api_secret': 'MjUzZjZmZjFkOTllMDYwYjljYzhlYWE2', 'hotwords': '小猪猪,芝麻开门'}, 'xunfei': {'app_id': '016b92a6', 'api_key': '8ac63485f16c76f845142189872f5cea', 'api_secret': 'MjUzZjZmZjFkOTllMDYwYjljYzhlYWE2', 'vcn': 'x4_yezi', 'speed': 50, 'volume': 50, 'pitch': 50}, 'deepseek': {'api_key': 'sk-f2d5403d07e1499a8e344a09588f4eb7', 'base_url': 'https://api.deepseek.com', 'model': 'deepseek-chat', 'temperature': 0.7, 'max_tokens': 2048}, 'endwords': ['再见', '拜拜', '下次再说'], 'welcome_audio_path': 'audio_out/welcome.mp3', 'welcome_text': '你好。', 'audio_out_dir': 'audio_out', 'tts_cache_dir': 'audio_out/tts_cache', 'error_prompts': {'error_recording': '录音设备不可用，请检查麦克风。', 'error_asr': '语音识别服务不可用，请检查网络或稍后重试。', 'error_network': '网络连接异常，请检查网络。', 'error_tts': '语音合成服务不可用。', 'error_system': '系统发生未知错误，请稍后重试。', 'error_no_input': '未检测到有效语音，请再试一次。'}, 'wakeword': {'keyword_paths': ['wakeword/xiaozhu.ppn'], 'access_key': 'TTnalPNKGniQ17wPRKfQR7u29VGYKVHk2NheRgMh7K7b5JIVnJE3UQ==', 'sensitivities': [0.7], 'model_path': 'wakeword/porcupine_params_zh.pv', 'audio_device_index': 1}, 'tts_cache_policy': {'max_files': 200, 'max_bytes': 15000000000}}
2025-07-05 11:16:41.884 | DEBUG    | __main__:prepare_welcome_audio:22 - 本地欢迎语音已存在：audio_out/welcome.mp3
2025-07-05 11:16:41.885 | DEBUG    | utils.tts_cache_manager:prepare_error_prompts:29 - TTS缓存已存在：audio_out/tts_cache/error_recording.mp3
2025-07-05 11:16:41.885 | DEBUG    | utils.tts_cache_manager:prepare_error_prompts:29 - TTS缓存已存在：audio_out/tts_cache/error_asr.mp3
2025-07-05 11:16:41.885 | DEBUG    | utils.tts_cache_manager:prepare_error_prompts:29 - TTS缓存已存在：audio_out/tts_cache/error_network.mp3
2025-07-05 11:16:41.885 | DEBUG    | utils.tts_cache_manager:prepare_error_prompts:29 - TTS缓存已存在：audio_out/tts_cache/error_tts.mp3
2025-07-05 11:16:41.885 | DEBUG    | utils.tts_cache_manager:prepare_error_prompts:29 - TTS缓存已存在：audio_out/tts_cache/error_system.mp3
2025-07-05 11:16:41.886 | DEBUG    | utils.tts_cache_manager:prepare_error_prompts:29 - TTS缓存已存在：audio_out/tts_cache/error_no_input.mp3
2025-07-05 11:16:42.060 | INFO     | wakeword.porcupine_adapter:start:29 - 唤醒词检测已启动，等待唤醒...
2025-07-05 11:16:44.558 | DEBUG    | wakeword.porcupine_adapter:start:36 - 唤醒词已检测到，触发回调。
2025-07-05 11:16:44.558 | DEBUG    | audio_out.player:play_audio:6 - 准备播放音频: audio_out/welcome.mp3
2025-07-05 11:16:46.047 | INFO     | audio_out.player:play_audio:9 - 播放音频完成: audio_out/welcome.mp3
2025-07-05 11:16:46.048 | INFO     | __main__:on_wakeword_detected:81 - 已唤醒，等待用户说话...
2025-07-05 11:16:46.048 | DEBUG    | asr.xunfei_asr:_assemble_url:32 - ASR鉴权用date: Sat, 05 Jul 2025 03:16:46 GMT
2025-07-05 11:16:46.048 | DEBUG    | asr.xunfei_asr:_assemble_url:38 - ASR签名原始串: 'host: iat-api.xfyun.cn\ndate: Sat, 05 Jul 2025 03:16:46 GMT\nGET /v2/iat HTTP/1.1'
2025-07-05 11:16:46.048 | DEBUG    | asr.xunfei_asr:_assemble_url:47 - ASR签名base64: BqNrbu9AYt99vM+SRVrqOar1fxNoPcK+FR1lzhYjFwY=
2025-07-05 11:16:46.049 | DEBUG    | asr.xunfei_asr:_assemble_url:56 - ASR authorization_origin: api_key="8ac63485f16c76f845142189872f5cea", algorithm="hmac-sha256", headers="host date request-line", signature="BqNrbu9AYt99vM+SRVrqOar1fxNoPcK+FR1lzhYjFwY="
2025-07-05 11:16:46.049 | DEBUG    | asr.xunfei_asr:_assemble_url:58 - ASR authorization (base64): YXBpX2tleT0iOGFjNjM0ODVmMTZjNzZmODQ1MTQyMTg5ODcyZjVjZWEiLCBhbGdvcml0aG09ImhtYWMtc2hhMjU2IiwgaGVhZGVycz0iaG9zdCBkYXRlIHJlcXVlc3QtbGluZSIsIHNpZ25hdHVyZT0iQnFOcmJ1OUFZdDk5dk0rU1JWcnFPYXIxZnhOb1BjSytGUjFsemhZakZ3WT0i
2025-07-05 11:16:46.049 | INFO     | asr.xunfei_asr:_assemble_url:67 - ASR WS 连接URL: wss://iat-api.xfyun.cn/v2/iat?authorization=YXBpX2tleT0iOGFjNjM0ODVmMTZjNzZmODQ1MTQyMTg5ODcyZjVjZWEiLCBhbGdvcml0aG09ImhtYWMtc2hhMjU2IiwgaGVhZGVycz0iaG9zdCBkYXRlIHJlcXVlc3QtbGluZSIsIHNpZ25hdHVyZT0iQnFOcmJ1OUFZdDk5dk0rU1JWcnFPYXIxZnhOb1BjSytGUjFsemhZakZ3WT0i&date=Sat%2C+05+Jul+2025+03%3A16%3A46+GMT&host=iat-api.xfyun.cn
2025-07-05 11:16:47.314 | INFO     | asr.xunfei_asr:send_audio:203 - ASR流式识别：开始分块发送
2025-07-05 11:16:48.327 | ERROR    | asr.xunfei_asr:send_audio:243 - ASR流式音频发送异常: Error opening InputStream: Device unavailable [PaErrorCode -9985]
2025-07-05 11:16:48.328 | ERROR    | asr.xunfei_asr:recognize_stream:263 - ASR流式未识别到有效文本
2025-07-05 11:16:48.328 | INFO     | __main__:on_wakeword_detected:85 - 用户语音识别结果: 
2025-07-05 11:16:48.328 | DEBUG    | __main__:on_wakeword_detected:88 - 识别结果为空，提示用户重说。
2025-07-05 11:16:48.328 | DEBUG    | audio_out.player:play_audio:6 - 准备播放音频: audio_out/tts_cache/error_no_input.mp3
2025-07-05 11:16:51.895 | INFO     | audio_out.player:play_audio:9 - 播放音频完成: audio_out/tts_cache/error_no_input.mp3
2025-07-05 11:16:54.586 | INFO     | wakeword.porcupine_adapter:start:39 - 唤醒词检测终止。
2025-07-05 11:17:52.181 | INFO     | __main__:main:25 - ==== 智能语音音箱主流程启动 ====
2025-07-05 11:17:52.186 | DEBUG    | __main__:main:27 - 完整配置参数: {'xunfei_asr': {'app_id': '016b92a6', 'api_key': '8ac63485f16c76f845142189872f5cea', 'api_secret': 'MjUzZjZmZjFkOTllMDYwYjljYzhlYWE2', 'hotwords': '小猪猪,芝麻开门'}, 'xunfei': {'app_id': '016b92a6', 'api_key': '8ac63485f16c76f845142189872f5cea', 'api_secret': 'MjUzZjZmZjFkOTllMDYwYjljYzhlYWE2', 'vcn': 'x4_yezi', 'speed': 50, 'volume': 50, 'pitch': 50}, 'deepseek': {'api_key': 'sk-f2d5403d07e1499a8e344a09588f4eb7', 'base_url': 'https://api.deepseek.com', 'model': 'deepseek-chat', 'temperature': 0.7, 'max_tokens': 2048}, 'endwords': ['再见', '拜拜', '下次再说'], 'welcome_audio_path': 'audio_out/welcome.mp3', 'welcome_text': '你好。', 'audio_out_dir': 'audio_out', 'tts_cache_dir': 'audio_out/tts_cache', 'error_prompts': {'error_recording': '录音设备不可用，请检查麦克风。', 'error_asr': '语音识别服务不可用，请检查网络或稍后重试。', 'error_network': '网络连接异常，请检查网络。', 'error_tts': '语音合成服务不可用。', 'error_system': '系统发生未知错误，请稍后重试。', 'error_no_input': '未检测到有效语音，请再试一次。'}, 'wakeword': {'keyword_paths': ['wakeword/xiaozhu.ppn'], 'access_key': 'TTnalPNKGniQ17wPRKfQR7u29VGYKVHk2NheRgMh7K7b5JIVnJE3UQ==', 'sensitivities': [0.7], 'model_path': 'wakeword/porcupine_params_zh.pv', 'audio_device_index': 1}, 'tts_cache_policy': {'max_files': 200, 'max_bytes': 15000000000}}
2025-07-05 11:17:52.187 | DEBUG    | __main__:prepare_welcome_audio:22 - 本地欢迎语音已存在：audio_out/welcome.mp3
2025-07-05 11:17:52.187 | DEBUG    | utils.tts_cache_manager:prepare_error_prompts:29 - TTS缓存已存在：audio_out/tts_cache/error_recording.mp3
2025-07-05 11:17:52.187 | DEBUG    | utils.tts_cache_manager:prepare_error_prompts:29 - TTS缓存已存在：audio_out/tts_cache/error_asr.mp3
2025-07-05 11:17:52.187 | DEBUG    | utils.tts_cache_manager:prepare_error_prompts:29 - TTS缓存已存在：audio_out/tts_cache/error_network.mp3
2025-07-05 11:17:52.188 | DEBUG    | utils.tts_cache_manager:prepare_error_prompts:29 - TTS缓存已存在：audio_out/tts_cache/error_tts.mp3
2025-07-05 11:17:52.188 | DEBUG    | utils.tts_cache_manager:prepare_error_prompts:29 - TTS缓存已存在：audio_out/tts_cache/error_system.mp3
2025-07-05 11:17:52.188 | DEBUG    | utils.tts_cache_manager:prepare_error_prompts:29 - TTS缓存已存在：audio_out/tts_cache/error_no_input.mp3
2025-07-05 11:17:52.279 | INFO     | wakeword.porcupine_adapter:start:29 - 唤醒词检测已启动，等待唤醒...
2025-07-05 11:17:54.265 | DEBUG    | wakeword.porcupine_adapter:start:36 - 唤醒词已检测到，触发回调。
2025-07-05 11:17:54.265 | DEBUG    | audio_out.player:play_audio:6 - 准备播放音频: audio_out/welcome.mp3
2025-07-05 11:17:55.749 | INFO     | audio_out.player:play_audio:9 - 播放音频完成: audio_out/welcome.mp3
2025-07-05 11:17:55.749 | INFO     | __main__:on_wakeword_detected:81 - 已唤醒，等待用户说话...
2025-07-05 11:17:55.749 | DEBUG    | asr.xunfei_asr:_assemble_url:32 - ASR鉴权用date: Sat, 05 Jul 2025 03:17:55 GMT
2025-07-05 11:17:55.749 | DEBUG    | asr.xunfei_asr:_assemble_url:38 - ASR签名原始串: 'host: iat-api.xfyun.cn\ndate: Sat, 05 Jul 2025 03:17:55 GMT\nGET /v2/iat HTTP/1.1'
2025-07-05 11:17:55.750 | DEBUG    | asr.xunfei_asr:_assemble_url:47 - ASR签名base64: yLwGETSFg4zg23jIOcqGbkIuOyapykEqOxDoFNP2Z4w=
2025-07-05 11:17:55.750 | DEBUG    | asr.xunfei_asr:_assemble_url:56 - ASR authorization_origin: api_key="8ac63485f16c76f845142189872f5cea", algorithm="hmac-sha256", headers="host date request-line", signature="yLwGETSFg4zg23jIOcqGbkIuOyapykEqOxDoFNP2Z4w="
2025-07-05 11:17:55.750 | DEBUG    | asr.xunfei_asr:_assemble_url:58 - ASR authorization (base64): YXBpX2tleT0iOGFjNjM0ODVmMTZjNzZmODQ1MTQyMTg5ODcyZjVjZWEiLCBhbGdvcml0aG09ImhtYWMtc2hhMjU2IiwgaGVhZGVycz0iaG9zdCBkYXRlIHJlcXVlc3QtbGluZSIsIHNpZ25hdHVyZT0ieUx3R0VUU0ZnNHpnMjNqSU9jcUdia0l1T3lhcHlrRXFPeERvRk5QMlo0dz0i
2025-07-05 11:17:55.750 | INFO     | asr.xunfei_asr:_assemble_url:67 - ASR WS 连接URL: wss://iat-api.xfyun.cn/v2/iat?authorization=YXBpX2tleT0iOGFjNjM0ODVmMTZjNzZmODQ1MTQyMTg5ODcyZjVjZWEiLCBhbGdvcml0aG09ImhtYWMtc2hhMjU2IiwgaGVhZGVycz0iaG9zdCBkYXRlIHJlcXVlc3QtbGluZSIsIHNpZ25hdHVyZT0ieUx3R0VUU0ZnNHpnMjNqSU9jcUdia0l1T3lhcHlrRXFPeERvRk5QMlo0dz0i&date=Sat%2C+05+Jul+2025+03%3A17%3A55+GMT&host=iat-api.xfyun.cn
2025-07-05 11:17:57.065 | INFO     | asr.xunfei_asr:send_audio:203 - ASR流式识别：开始分块发送
2025-07-05 11:17:58.077 | ERROR    | asr.xunfei_asr:send_audio:243 - ASR流式音频发送异常: Error opening InputStream: Device unavailable [PaErrorCode -9985]
2025-07-05 11:17:58.078 | ERROR    | asr.xunfei_asr:recognize_stream:263 - ASR流式未识别到有效文本
2025-07-05 11:17:58.078 | INFO     | __main__:on_wakeword_detected:85 - 用户语音识别结果: 
2025-07-05 11:17:58.078 | DEBUG    | __main__:on_wakeword_detected:88 - 识别结果为空，提示用户重说。
2025-07-05 11:17:58.079 | DEBUG    | audio_out.player:play_audio:6 - 准备播放音频: audio_out/tts_cache/error_no_input.mp3
2025-07-05 11:18:01.638 | INFO     | audio_out.player:play_audio:9 - 播放音频完成: audio_out/tts_cache/error_no_input.mp3
2025-07-05 11:18:04.234 | INFO     | wakeword.porcupine_adapter:start:39 - 唤醒词检测终止。
2025-07-05 11:18:45.098 | INFO     | __main__:main:25 - ==== 智能语音音箱主流程启动 ====
2025-07-05 11:18:45.103 | DEBUG    | __main__:main:27 - 完整配置参数: {'xunfei_asr': {'app_id': '016b92a6', 'api_key': '8ac63485f16c76f845142189872f5cea', 'api_secret': 'MjUzZjZmZjFkOTllMDYwYjljYzhlYWE2', 'hotwords': '小猪猪,芝麻开门'}, 'xunfei': {'app_id': '016b92a6', 'api_key': '8ac63485f16c76f845142189872f5cea', 'api_secret': 'MjUzZjZmZjFkOTllMDYwYjljYzhlYWE2', 'vcn': 'x4_yezi', 'speed': 50, 'volume': 50, 'pitch': 50}, 'deepseek': {'api_key': 'sk-f2d5403d07e1499a8e344a09588f4eb7', 'base_url': 'https://api.deepseek.com', 'model': 'deepseek-chat', 'temperature': 0.7, 'max_tokens': 2048}, 'endwords': ['再见', '拜拜', '下次再说'], 'welcome_audio_path': 'audio_out/welcome.mp3', 'welcome_text': '你好。', 'audio_out_dir': 'audio_out', 'tts_cache_dir': 'audio_out/tts_cache', 'error_prompts': {'error_recording': '录音设备不可用，请检查麦克风。', 'error_asr': '语音识别服务不可用，请检查网络或稍后重试。', 'error_network': '网络连接异常，请检查网络。', 'error_tts': '语音合成服务不可用。', 'error_system': '系统发生未知错误，请稍后重试。', 'error_no_input': '未检测到有效语音，请再试一次。'}, 'wakeword': {'keyword_paths': ['wakeword/xiaozhu.ppn'], 'access_key': 'TTnalPNKGniQ17wPRKfQR7u29VGYKVHk2NheRgMh7K7b5JIVnJE3UQ==', 'sensitivities': [0.7], 'model_path': 'wakeword/porcupine_params_zh.pv', 'audio_device_index': 1}, 'tts_cache_policy': {'max_files': 200, 'max_bytes': 15000000000}}
2025-07-05 11:18:45.104 | DEBUG    | __main__:prepare_welcome_audio:22 - 本地欢迎语音已存在：audio_out/welcome.mp3
2025-07-05 11:18:45.104 | DEBUG    | utils.tts_cache_manager:prepare_error_prompts:29 - TTS缓存已存在：audio_out/tts_cache/error_recording.mp3
2025-07-05 11:18:45.104 | DEBUG    | utils.tts_cache_manager:prepare_error_prompts:29 - TTS缓存已存在：audio_out/tts_cache/error_asr.mp3
2025-07-05 11:18:45.104 | DEBUG    | utils.tts_cache_manager:prepare_error_prompts:29 - TTS缓存已存在：audio_out/tts_cache/error_network.mp3
2025-07-05 11:18:45.104 | DEBUG    | utils.tts_cache_manager:prepare_error_prompts:29 - TTS缓存已存在：audio_out/tts_cache/error_tts.mp3
2025-07-05 11:18:45.104 | DEBUG    | utils.tts_cache_manager:prepare_error_prompts:29 - TTS缓存已存在：audio_out/tts_cache/error_system.mp3
2025-07-05 11:18:45.105 | DEBUG    | utils.tts_cache_manager:prepare_error_prompts:29 - TTS缓存已存在：audio_out/tts_cache/error_no_input.mp3
2025-07-05 11:18:45.191 | INFO     | wakeword.porcupine_adapter:start:29 - 唤醒词检测已启动，等待唤醒...
2025-07-05 11:18:46.952 | DEBUG    | wakeword.porcupine_adapter:start:36 - 唤醒词已检测到，触发回调。
2025-07-05 11:18:46.953 | DEBUG    | audio_out.player:play_audio:6 - 准备播放音频: audio_out/welcome.mp3
2025-07-05 11:18:48.385 | INFO     | audio_out.player:play_audio:9 - 播放音频完成: audio_out/welcome.mp3
2025-07-05 11:18:48.385 | INFO     | __main__:on_wakeword_detected:81 - 已唤醒，等待用户说话...
2025-07-05 11:18:48.385 | DEBUG    | asr.xunfei_asr:_assemble_url:32 - ASR鉴权用date: Sat, 05 Jul 2025 03:18:48 GMT
2025-07-05 11:18:48.385 | DEBUG    | asr.xunfei_asr:_assemble_url:38 - ASR签名原始串: 'host: iat-api.xfyun.cn\ndate: Sat, 05 Jul 2025 03:18:48 GMT\nGET /v2/iat HTTP/1.1'
2025-07-05 11:18:48.386 | DEBUG    | asr.xunfei_asr:_assemble_url:47 - ASR签名base64: liFVgLiRAnoRF4dLyR5UJQvbeJl2VAblOUkhOArKvXI=
2025-07-05 11:18:48.386 | DEBUG    | asr.xunfei_asr:_assemble_url:56 - ASR authorization_origin: api_key="8ac63485f16c76f845142189872f5cea", algorithm="hmac-sha256", headers="host date request-line", signature="liFVgLiRAnoRF4dLyR5UJQvbeJl2VAblOUkhOArKvXI="
2025-07-05 11:18:48.386 | DEBUG    | asr.xunfei_asr:_assemble_url:58 - ASR authorization (base64): YXBpX2tleT0iOGFjNjM0ODVmMTZjNzZmODQ1MTQyMTg5ODcyZjVjZWEiLCBhbGdvcml0aG09ImhtYWMtc2hhMjU2IiwgaGVhZGVycz0iaG9zdCBkYXRlIHJlcXVlc3QtbGluZSIsIHNpZ25hdHVyZT0ibGlGVmdMaVJBbm9SRjRkTHlSNVVKUXZiZUpsMlZBYmxPVWtoT0FyS3ZYST0i
2025-07-05 11:18:48.386 | INFO     | asr.xunfei_asr:_assemble_url:67 - ASR WS 连接URL: wss://iat-api.xfyun.cn/v2/iat?authorization=YXBpX2tleT0iOGFjNjM0ODVmMTZjNzZmODQ1MTQyMTg5ODcyZjVjZWEiLCBhbGdvcml0aG09ImhtYWMtc2hhMjU2IiwgaGVhZGVycz0iaG9zdCBkYXRlIHJlcXVlc3QtbGluZSIsIHNpZ25hdHVyZT0ibGlGVmdMaVJBbm9SRjRkTHlSNVVKUXZiZUpsMlZBYmxPVWtoT0FyS3ZYST0i&date=Sat%2C+05+Jul+2025+03%3A18%3A48+GMT&host=iat-api.xfyun.cn
2025-07-05 11:18:49.701 | INFO     | asr.xunfei_asr:send_audio:203 - ASR流式识别：开始分块发送
2025-07-05 11:18:50.362 | INFO     | wakeword.porcupine_adapter:start:39 - 唤醒词检测终止。
2025-07-05 11:53:13.159 | INFO     | __main__:main:25 - ==== 智能语音音箱主流程启动 ====
